Label,Text,length,#digit/(#ascii+#digit+#punctuation),#max_digit_skip_0_2,first_character_type,"#""space"""
0,"le trung tinh
",14,0.0,0,1,2
0,"le vĩnh truong
",16,0.0,0,1,2
0,"phanhong chuong
",16,0.0,0,1,1
0,"nguyen quang duc
",17,0.0,0,1,2
0,"dinh van quyet
",15,0.0,0,1,2
0,"manh cuong nguyen
",18,0.0,0,1,2
0,"nguyen hoang anh
",17,0.0,0,1,2
0,"pham song thu
",14,0.0,0,1,2
0,"nguyen viet thang
",18,0.0,0,1,2
0,"le ngoc minh
",13,0.0,0,1,2
0,"nguyen thi hoi
",15,0.0,0,1,2
0,"van toan
",9,0.0,0,1,1
0,"steve  mai
",11,0.0,0,1,1
0,"le ngoc mai
",12,0.0,0,1,2
0,"thanh van
",10,0.0,0,1,1
0,"pham kien thuc
",15,0.0,0,1,2
0,"le quang
",9,0.0,0,1,1
0,"nguyen tran dang phu
",21,0.0,0,1,3
0,"nuyen huy tuyen
",16,0.0,0,1,2
0,"cater2yourflavor llc
",21,0.05263157894736842,1,1,1
0,"huynh phi long
",15,0.0,0,1,2
0,"nguyen quang a
",15,0.0,0,1,2
0,"dieu chinh lu
",14,0.0,0,1,2
0,"cao xuan hong linh
",19,0.0,0,1,3
0,"vu thi phuong anh
",18,0.0,0,1,3
0,"le ngoc luong
",14,0.0,0,1,2
0,"chien tran tien
",16,0.0,0,1,2
0,"thuy my
",8,0.0,0,1,1
0,"mai huu duy
",12,0.0,0,1,2
0,"mai thuy dung
",14,0.0,0,1,2
0,"dang xuan chau
",15,0.0,0,1,2
0,"nguyen quoc chuong
",19,0.0,0,1,2
0,"nguyen hoai tuong
",18,0.0,0,1,2
0,"hoang long
",11,0.0,0,1,1
0,"nguyen huu loc
",15,0.0,0,1,2
0,"nguyen manh kim
",16,0.0,0,1,2
0,"hoang vinh thang
",17,0.0,0,1,2
0,"nguyen tan thanh
",17,0.0,0,1,2
0,"lu tran diem trinh
",19,0.0,0,1,3
0,"tran van tinh
",14,0.0,0,1,2
0,"nguyen ngoc anh
",16,0.0,0,1,2
0,"tran quoc loc
",14,0.0,0,1,2
0,"pham dang quynh
",16,0.0,0,1,2
0,"le thuy bao nhi
",16,0.0,0,1,3
0,"dinh ngoc thu
",14,0.0,0,1,2
0,"pham ngoc sang
",15,0.0,0,1,2
0,"huynh van thang
",16,0.0,0,1,2
0,"ha thach huong
",15,0.0,0,1,2
0,"bui tu anh
",11,0.0,0,1,2
0,"toai nguyen
",12,0.0,0,1,1
0,"trinh viet nam
",15,0.0,0,1,2
0,"le hoang duy
",13,0.0,0,1,2
0,"quynh vu
",9,0.0,0,1,1
0,"dieu t. nguyen
",15,0.0,0,1,2
0,"nguyen thai linh
",17,0.0,0,1,2
0,"nguyen ngoc hien
",17,0.0,0,1,2
0,"hai tran
",9,0.0,0,1,1
0,"nguyen trung thanh
",19,0.0,0,1,2
0,"bao le
",7,0.0,0,1,1
0,"tung huynh
",11,0.0,0,1,1
0,"kim ngan nguyen
",16,0.0,0,1,2
0,"truong dang tuan dat
",21,0.0,0,1,3
0,"tran thanh trac
",16,0.0,0,1,2
0,"nguyen thanh ha
",16,0.0,0,1,2
0,"le dang hung
",13,0.0,0,1,2
0,"nguyen van man
",15,0.0,0,1,2
0,"tung le pham
",13,0.0,0,1,2
0,"van do
",7,0.0,0,1,1
0,"ha duong tuong
",15,0.0,0,1,2
0,"pham van binh
",14,0.0,0,1,2
0,"hue tran thi
",13,0.0,0,1,2
0,"ly minh hao
",12,0.0,0,1,2
0,"minh tu huynh
",14,0.0,0,1,2
0,"pham phu quoc, phd
",19,0.0,0,1,3
0,"nguyen xuan lien
",17,0.0,0,1,2
0,"huynh duy loc
",14,0.0,0,1,2
0,"khach do
",9,0.0,0,1,1
0,"le bao
",7,0.0,0,1,1
0,"nguyen vu duy tuan
",19,0.0,0,1,3
0,"nguyen van thanh
",17,0.0,0,1,2
0,"vo thai minh
",13,0.0,0,1,2
0,"nguyen minh chinh
",18,0.0,0,1,2
0,"pham tran dai
",14,0.0,0,1,2
0,"son t tran
",11,0.0,0,1,2
0,"dao nguyen ngoc
",16,0.0,0,1,2
0,"kieu duc long
",14,0.0,0,1,2
0,"hoang cuong
",12,0.0,0,1,1
0,"nguyen trung hieu
",18,0.0,0,1,2
0,"henry vo
",9,0.0,0,1,1
0,"xuan pham
",10,0.0,0,1,1
0,"nguyen the dung
",16,0.0,0,1,2
0,"huynh quoc thang
",17,0.0,0,1,2
0,"hung quoc nguyen
",17,0.0,0,1,2
0,"tran thanh nhat
",16,0.0,0,1,2
0,"vu d. le
",9,0.0,0,1,2
0,"quach hoang minh
",17,0.0,0,1,2
0,"tran kim dung
",14,0.0,0,1,2
0,"tran ngoc thach
",16,0.0,0,1,2
0,"hung q. ngo
",12,0.0,0,1,2
0,"son dao
",8,0.0,0,1,1
0,"melisa tram
",12,0.0,0,1,1
0,"ryan nguyen
",12,0.0,0,1,1
0,"steven huynh
",13,0.0,0,1,1
0,"le kim hung
",12,0.0,0,1,2
0,"vo van long
",12,0.0,0,1,2
0,"ha duy long
",12,0.0,0,1,2
0,"hoang ngoc cam
",15,0.0,0,1,2
0,"bang c. dinh
",13,0.0,0,1,2
0,"nguyen nguyen
",14,0.0,0,1,1
0,"van ngoc thanh
",15,0.0,0,1,2
0,"vi hue
",7,0.0,0,1,1
0,"tran thi huong
",15,0.0,0,1,2
0,"paul dau
",9,0.0,0,1,1
0,"dinh van hai
",13,0.0,0,1,2
0,"nguyen trong thuy
",18,0.0,0,1,2
0,"pham tran tung
",15,0.0,0,1,2
0,"nguyen jung
",12,0.0,0,1,1
0,"long nguyen
",12,0.0,0,1,1
0,"tai le
",7,0.0,0,1,1
0,"nghi nguyen
",12,0.0,0,1,1
0,"le trung
",9,0.0,0,1,1
0,"binh phu nguyen
",16,0.0,0,1,2
0,"ngo bao chau
",13,0.0,0,1,2
0,"tan le
",7,0.0,0,1,1
0,"nguyen huu vien
",16,0.0,0,1,2
0,"dang binh
",10,0.0,0,1,1
0,"nguyenthoiday
",14,0.0,0,1,0
0,"son nguyen
",11,0.0,0,1,1
0,"pham cuong
",11,0.0,0,1,1
0,"huy tran
",9,0.0,0,1,1
0,"le thuan
",9,0.0,0,1,1
0,"nguyen ba phuong
",17,0.0,0,1,2
0,"nguyen trong binh ph.d.
",24,0.0,0,1,3
0,"thai phu nguyen
",16,0.0,0,1,2
0,"nguyen duy vinh
",16,0.0,0,1,2
0,"duc hoang
",10,0.0,0,1,1
0,"ngo hoang minh
",15,0.0,0,1,2
0,"luu hong thang
",15,0.0,0,1,2
0,"vi huu tran
",12,0.0,0,1,2
0,"vo xuan hung
",13,0.0,0,1,2
0,"tran minh vy
",13,0.0,0,1,2
0,"huynh hai nam
",14,0.0,0,1,2
0,"nguyen phuong tung
",19,0.0,0,1,2
0,"hoanng  quang  mjnh
",20,0.0,0,1,2
0,"nguyen quoc phuong
",19,0.0,0,1,2
0,"hoang dang
",11,0.0,0,1,1
0,"nguyen duc hai
",15,0.0,0,1,2
0,"nguyen tuan khanh
",18,0.0,0,1,2
0,"nguyen-trong  hoang
",20,0.0,0,1,1
0,"phùng hoài ngọc
",19,0.0,0,1,2
0,"pham thanh lam
",15,0.0,0,1,2
0,"phùng hoài ngọc
",19,0.0,0,1,2
0,"pham quoc dat
",14,0.0,0,1,2
0,"tran ngoc thuan-an
",19,0.0,0,1,2
0,"tim pham
",9,0.0,0,1,1
0,"nguyen mai chi
",15,0.0,0,1,2
0,"van nguyen
",11,0.0,0,1,1
0,"dinh duy ky
",12,0.0,0,1,2
0,"nguyen the thinh
",17,0.0,0,1,2
0,"huong tran
",11,0.0,0,1,1
0,"tong hoang nhan
",16,0.0,0,1,2
0,"anh t nguyen
",13,0.0,0,1,2
0,"nguyen thi hai
",15,0.0,0,1,2
0,"nguyen xuan tho
",16,0.0,0,1,2
0,"nguyen thanh ha
",16,0.0,0,1,2
0,"nguyen phuong
",14,0.0,0,1,1
0,"hanh
",5,0.0,0,1,0
0,"hà nguyẽn quóc hùng
",24,0.0,0,1,3
0,"phung huu phu
",14,0.0,0,1,2
0,"nguyen thi kim lan
",19,0.0,0,1,3
0,"do xuan loc
",12,0.0,0,1,2
0,"truong anh vu
",14,0.0,0,1,2
0,"nguyen phuc
",12,0.0,0,1,1
0,"do xuan loc
",12,0.0,0,1,2
0,"toan dam
",9,0.0,0,1,1
0,"phat nguyen
",12,0.0,0,1,1
0,"qui thai
",9,0.0,0,1,1
0,"dang thi thanh phuong
",22,0.0,0,1,3
0,"pham hung
",10,0.0,0,1,1
0,"tran cao son
",13,0.0,0,1,2
0,"tony ngo
",9,0.0,0,1,1
0,"mai the tai
",12,0.0,0,1,2
0,"nghiem viet anh
",16,0.0,0,1,2
0,"tran khoan
",11,0.0,0,1,1
0,"tina dinh
",10,0.0,0,1,1
0,"t. v. vu
",9,0.0,0,1,2
0,"huynh dung
",11,0.0,0,1,1
0,"nguyenquangchu
",15,0.0,0,1,0
0,"trinh dzuong minh
",18,0.0,0,1,2
0,"pham duy quang
",15,0.0,0,1,2
0,"trinh lien minh
",16,0.0,0,1,2
0,"than nguyen vinh hao
",21,0.0,0,1,3
0,"nguyen van  duc
",16,0.0,0,1,2
0,"nguyen thanh trung
",19,0.0,0,1,2
0,"vu ngoc tru
",12,0.0,0,1,2
0,"nguyenquangchu
",15,0.0,0,1,0
0,"thanh binh trinh
",17,0.0,0,1,2
0,"phan phan hoang
",16,0.0,0,1,2
0,"cuong le
",9,0.0,0,1,1
0,"vu hong cuong
",14,0.0,0,1,2
0,"dung hong
",10,0.0,0,1,1
0,"nguyen quoc bao
",16,0.0,0,1,2
0,"bui van khanh
",14,0.0,0,1,2
0,"pham p. long
",13,0.0,0,1,2
0,"phan duong hieu
",16,0.0,0,1,2
0,"dinh van kiem
",14,0.0,0,1,2
0,"ngo thu lan
",12,0.0,0,1,2
0,"nguyen huu thai
",16,0.0,0,1,2
0,"ho van quan
",12,0.0,0,1,2
0,"ngo thi cam tu
",15,0.0,0,1,3
0,"khoi tran nguyen
",17,0.0,0,1,2
0,"nguyen cao hoang minh
",22,0.0,0,1,3
0,"le thanh tuan
",14,0.0,0,1,2
0,"pham duy hien
",14,0.0,0,1,2
0,"nguyen anh son
",15,0.0,0,1,2
0,"le hong ha
",11,0.0,0,1,2
0,"long hoang
",11,0.0,0,1,1
0,"le quang tu
",12,0.0,0,1,2
0,"nguyen van thanh
",17,0.0,0,1,2
0,"lam le
",7,0.0,0,1,1
0,"dao dinh binh
",14,0.0,0,1,2
0,"nguyen hien tri
",16,0.0,0,1,2
0,"huu ucmasvungtau
",17,0.0,0,1,1
0,"nguyen trut dinh
",17,0.0,0,1,2
0,"dao trung kien
",15,0.0,0,1,2
0,"duong vu
",9,0.0,0,1,1
0,"tinh nguyen
",12,0.0,0,1,1
0,"khoi m. tran
",13,0.0,0,1,2
0,"vu thu bon
",11,0.0,0,1,2
0,"dao tan anh truc
",17,0.0,0,1,3
0,"hien bui
",9,0.0,0,1,1
0,"bui van hung
",13,0.0,0,1,2
0,"nguyen khanh duong
",19,0.0,0,1,2
0,"nguyen khanh hung
",18,0.0,0,1,2
0,"nguyen van quang
",17,0.0,0,1,2
0,"nguyen dinh lung
",17,0.0,0,1,2
0,"hoang duc
",10,0.0,0,1,1
0,"dinh hoang thang
",17,0.0,0,1,2
0,"nguyen thi thanh ha
",20,0.0,0,1,3
0,"ngoc chau tran
",15,0.0,0,1,2
0,"nguyen nhut minh
",17,0.0,0,1,2
0,"mai hoang
",10,0.0,0,1,1
0,"phan tran tuan anh
",19,0.0,0,1,3
0,"tran minh thao
",15,0.0,0,1,2
0,"to oanh
",8,0.0,0,1,1
0,"dao, michael
",13,0.0,0,1,1
0,"truong k. ngoc
",15,0.0,0,1,2
0,"le xuan quang
",14,0.0,0,1,2
0,"dao, michael
",13,0.0,0,1,1
0,"ngo viet hung nguyen
",21,0.0,0,1,3
0,"van ngoc tra
",13,0.0,0,1,2
0,"nguyen quang nhan
",18,0.0,0,1,2
0,"doan thi thanh minh
",20,0.0,0,1,3
0,"duong van tu
",13,0.0,0,1,2
0,"nguyen ngoc lai
",16,0.0,0,1,2
0,"trinh minh duc
",15,0.0,0,1,2
0,"minh thanh
",11,0.0,0,1,1
0,"do toan quyen
",14,0.0,0,1,2
0,"vo thanh tuoi
",14,0.0,0,1,2
0,"khoi nguyen huy
",16,0.0,0,1,2
0,"nguyen phuong hoan
",19,0.0,0,1,2
0,"anh nguyen
",11,0.0,0,1,1
0,"bui phan thien giang
",21,0.0,0,1,3
0,"ly quang huy
",13,0.0,0,1,2
0,"j. nguyen
",10,0.0,0,1,1
0,"dan nguyen
",11,0.0,0,1,1
0,"nguyen duy tu
",14,0.0,0,1,2
0,"nguyen thanh phong
",19,0.0,0,1,2
0,"chung thanh tran
",17,0.0,0,1,2
0,"phan anh ky
",12,0.0,0,1,2
0,"chung thanh tran
",17,0.0,0,1,2
0,"luong cong trung
",17,0.0,0,1,2
0,"phan van song
",14,0.0,0,1,2
0,"nguyen duc hoa
",15,0.0,0,1,2
0,"kim dao
",8,0.0,0,1,1
0,"nguen giaothuy
",15,0.0,0,1,1
0,"tran van tan
",13,0.0,0,1,2
0,"son van vu
",11,0.0,0,1,2
0,"tran quoc thai
",15,0.0,0,1,2
0,"truong minh  thy
",17,0.0,0,1,2
0,"trinh-don nguyen
",17,0.0,0,1,1
0,"nguyen dúc toản
",18,0.0,0,1,2
0,"nguyen ho nhat thanh
",21,0.0,0,1,3
0,"ha viet hai
",12,0.0,0,1,2
0,"do thai phuc
",13,0.0,0,1,2
0,"huynh ngoc tien
",16,0.0,0,1,2
0,"luat su nguyen van tau
",23,0.0,0,1,4
0,"nguyen thuy
",12,0.0,0,1,1
0,"luu duy hao
",12,0.0,0,1,2
0,"nguyen van dang
",16,0.0,0,1,2
0,"hoang hung
",11,0.0,0,1,1
0,"nguyen thi thao
",16,0.0,0,1,2
0,"pham xuan ty
",13,0.0,0,1,2
0,"huynh cong thuan
",17,0.0,0,1,2
0,"le van oanh
",12,0.0,0,1,2
0,"pham ngoc tinh
",15,0.0,0,1,2
0,"le cong dinh
",13,0.0,0,1,2
0,"dang quoc toan
",15,0.0,0,1,2
0,"nguyen phuoc trung bao
",23,0.0,0,1,3
0,"nguyen hung lan
",16,0.0,0,1,2
0,"nguyen thi truc phuong
",23,0.0,0,1,3
0,"nguyen van quang
",17,0.0,0,1,2
0,"nguyen thanh binh
",18,0.0,0,1,2
0,"tran quoc hung
",15,0.0,0,1,2
0,"do huu hai
",11,0.0,0,1,2
0,"nguyen thi tu anh
",18,0.0,0,1,3
0,"phan thanh
",11,0.0,0,1,1
0,"phan binh lam
",14,0.0,0,1,2
0,"nguyen huong dao
",17,0.0,0,1,2
0,"le thanh phuong
",16,0.0,0,1,2
0,"do thanh duong
",15,0.0,0,1,2
0,"pham son
",9,0.0,0,1,1
0,"phan the van
",13,0.0,0,1,2
0,"nguyen cong tam
",16,0.0,0,1,2
0,"tran chi hung
",14,0.0,0,1,2
0,"nguyen tam ha
",14,0.0,0,1,2
0,"pham huu bon
",13,0.0,0,1,2
0,"le thi ha nhi
",14,0.0,0,1,3
0,"phung anh tuan
",15,0.0,0,1,2
0,"minh tran
",10,0.0,0,1,1
0,"charlie.l.dang
",15,0.0,0,1,0
0,"anvan huynh
",12,0.0,0,1,1
0,"thao tran
",10,0.0,0,1,1
0,"le minh trung
",14,0.0,0,1,2
0,"nguyen van hoang
",17,0.0,0,1,2
0,"le nguyen long
",15,0.0,0,1,2
0,"nguyen ngoc son
",16,0.0,0,1,2
0,"dinh hung
",10,0.0,0,1,1
0,"nguyen phan thy
",16,0.0,0,1,2
0,"thanh nam
",10,0.0,0,1,1
0,"trịnh hũu long
",17,0.0,0,1,2
0,"nguyen dinh ấm
",15,0.0,0,1,2
0,"nguyen van lich
",16,0.0,0,1,2
0,"hò vũ tài duong
",19,0.0,0,1,3
0,"trinh gia kiet
",15,0.0,0,1,2
0,"le van hau
",11,0.0,0,1,2
0,"huy duc
",8,0.0,0,1,1
0,"nguyen hung
",12,0.0,0,1,1
0,"vu quang binh
",14,0.0,0,1,2
0,"khanh c vu
",11,0.0,0,1,2
0,"vũ thé cuòng
",16,0.0,0,1,2
0,"tuyen n. huynh
",15,0.0,0,1,2
0,"doan cong nghi
",15,0.0,0,1,2
0,"nguyen quang
",13,0.0,0,1,1
0,"nguyen van long
",16,0.0,0,1,2
0,"le vu
",6,0.0,0,1,1
0,"khiem
",6,0.0,0,1,0
0,"khuong huynh
",13,0.0,0,1,1
0,"tran tat dat
",13,0.0,0,1,2
0,"pham nguyet nga
",16,0.0,0,1,2
0,"nguyen trang kieu
",18,0.0,0,1,2
0,"le anh tuyet
",13,0.0,0,1,2
0,"nguyen thanh tuan
",18,0.0,0,1,2
0,"nguyen chau thuan
",18,0.0,0,1,2
0,"nguyen binh minh
",17,0.0,0,1,2
0,"nguyen khanh tien
",18,0.0,0,1,2
0,"phung thi huyen trang
",22,0.0,0,1,3
0,"bui quang huynh
",16,0.0,0,1,2
0,"le van minh
",12,0.0,0,1,2
0,"truong tan
",11,0.0,0,1,1
0,"tri le
",7,0.0,0,1,1
0,"le tien dat
",12,0.0,0,1,2
0,"tran van viet
",14,0.0,0,1,2
0,"nguyẽn thị ngọc hiéu
",25,0.0,0,1,3
0,"tran thanh nhat
",16,0.0,0,1,2
0,"vu huy son
",11,0.0,0,1,2
0,"nguyen diep phuong
",19,0.0,0,1,2
0,"le xuan thong
",14,0.0,0,1,2
0,"nguyen duy khanh
",17,0.0,0,1,2
0,"tien phan
",10,0.0,0,1,1
0,"truong ngoc quy
",16,0.0,0,1,2
0,"hoang thi hao
",14,0.0,0,1,2
0,"pham vu hiep
",13,0.0,0,1,2
0,"phuong tran
",12,0.0,0,1,1
0,"nguyen khac binh
",17,0.0,0,1,2
0,"nguyen tran hong huan
",22,0.0,0,1,3
0,"hoang cong thuy
",16,0.0,0,1,2
0,"bui quang minh
",15,0.0,0,1,2
0,"nguyen hoang tuan vu
",21,0.0,0,1,3
0,"trinh thanh tra
",16,0.0,0,1,2
0,"vu lan phuong
",14,0.0,0,1,2
0,"tran cao nguyen
",16,0.0,0,1,2
0,"truong ngoc quy
",16,0.0,0,1,2
0,"pham ngoc tuan
",15,0.0,0,1,2
0,"tran minh tien
",15,0.0,0,1,2
0,"hung
",5,0.0,0,1,0
0,"nguyen minh diep
",17,0.0,0,1,2
0,"truong huu hoan
",16,0.0,0,1,2
0,"ho quang huy
",13,0.0,0,1,2
0,"nguyen thanh tung
",18,0.0,0,1,2
0,"tran thi nhu thuy
",18,0.0,0,1,3
0,"karen bui
",10,0.0,0,1,1
0,"anthony ngo
",12,0.0,0,1,1
0,"cong qui le
",12,0.0,0,1,2
0,"man van thang
",14,0.0,0,1,2
0,"tung nguyen
",12,0.0,0,1,1
0,"tien tran
",10,0.0,0,1,1
0,"le minh nguyen
",15,0.0,0,1,2
0,"nguyen thai binh
",17,0.0,0,1,2
0,"nguyen hoang viet
",18,0.0,0,1,2
0,"hoa n. huynh
",13,0.0,0,1,2
0,"nguyen van tuyen
",17,0.0,0,1,2
0,"le minh huy
",12,0.0,0,1,2
0,"le van hanh
",12,0.0,0,1,2
0,"pham thanh cao
",15,0.0,0,1,2
0,"nguyen tien dat
",16,0.0,0,1,2
0,"nguyen minh tuong
",18,0.0,0,1,2
0,"kevin tran
",11,0.0,0,1,1
0,"nguyen si trieu chau
",21,0.0,0,1,3
0,"nguyen dang tu
",15,0.0,0,1,2
0,"nguyen hoang nam
",17,0.0,0,1,2
0,"vu nam phong
",13,0.0,0,1,2
0,"tho tran
",9,0.0,0,1,1
0,"tran thi thu hien
",18,0.0,0,1,3
0,"le van huy
",11,0.0,0,1,2
0,"truong tu huy
",14,0.0,0,1,2
0,"phan minh hieu
",15,0.0,0,1,2
0,"nguyen loc la
",14,0.0,0,1,2
0,"chu binh minh
",14,0.0,0,1,2
0,"nguyen thi anh tho
",19,0.0,0,1,3
0,"trinh duc duy
",14,0.0,0,1,2
0,"pham huy hoang
",15,0.0,0,1,2
0,"vo hoang bac
",13,0.0,0,1,2
0,"le ngoc hung
",13,0.0,0,1,2
0,"quyen hong tran
",16,0.0,0,1,2
0,"nguyen thanh luan
",18,0.0,0,1,2
0,"tran thi thu phuong
",20,0.0,0,1,3
0,"truong n. q. tran
",18,0.0,0,1,3
0,"can dinh viet
",14,0.0,0,1,2
0,"johnny truong
",14,0.0,0,1,1
0,"dang thai hoa
",14,0.0,0,1,2
0,"huynh huy hoang
",16,0.0,0,1,2
0,"duong quang ky
",15,0.0,0,1,2
0,"le cong vinh
",13,0.0,0,1,2
0,"ngo hoang cam van
",18,0.0,0,1,3
0,"do van phuc
",12,0.0,0,1,2
0,"tran ngoc hung
",15,0.0,0,1,2
0,"dai tuan hung
",14,0.0,0,1,2
0,"nguyen nhat long
",17,0.0,0,1,2
0,"nguyen thao linh
",17,0.0,0,1,2
0,"dao trung thuc
",15,0.0,0,1,2
0,"nguyen quoc vu
",15,0.0,0,1,2
0,"huỳnh gia phú
",16,0.0,0,1,2
0,"nguyen mai lan
",15,0.0,0,1,2
0,"chu van kien
",13,0.0,0,1,2
0,"le thi nhu quynh
",17,0.0,0,1,3
0,"anh nguyen
",11,0.0,0,1,1
0,"hang le bich
",13,0.0,0,1,2
0,"nguyen le sang
",15,0.0,0,1,2
0,"nguyen huu hao
",15,0.0,0,1,2
0,"nguyen nhan tuan
",17,0.0,0,1,2
0,"tran thi thuy
",14,0.0,0,1,2
0,"bui cong luan
",14,0.0,0,1,2
0,"thuy linh
",10,0.0,0,1,1
0,"doanhien
",9,0.0,0,1,0
0,"loc nguyen
",11,0.0,0,1,1
0,"dinh minh hoang
",16,0.0,0,1,2
0,"tu ngoc thong
",14,0.0,0,1,2
0,"nguyen van canh
",16,0.0,0,1,2
0,"pham thi cuc
",13,0.0,0,1,2
0,"nguyen thi my nga
",18,0.0,0,1,3
0,"phan van giang
",15,0.0,0,1,2
0,"pham thi hong
",14,0.0,0,1,2
0,"bui viet thang
",15,0.0,0,1,2
0,"le thi ngoc linh
",17,0.0,0,1,3
0,"nguyen duc trung
",17,0.0,0,1,2
0,"nguyen trung nhat
",18,0.0,0,1,2
0,"le anh hung
",12,0.0,0,1,2
0,"le huu minh tuan
",17,0.0,0,1,3
0,"hanh mai
",9,0.0,0,1,1
0,"pham van hieu
",14,0.0,0,1,2
0,"tong tam hung
",14,0.0,0,1,2
0,"dinh van hao
",13,0.0,0,1,2
0,"nguyen van huy
",15,0.0,0,1,2
0,"tran quoc tuy
",14,0.0,0,1,2
0,"luong vo nhat quang
",20,0.0,0,1,3
0,"le quy hien
",12,0.0,0,1,2
0,"nguyen minh nhut
",17,0.0,0,1,2
0,"ngoc james
",11,0.0,0,1,1
0,"tran thi minh trang
",20,0.0,0,1,3
0,"pham thi hanh
",14,0.0,0,1,2
0,"nguyen thi trang
",17,0.0,0,1,2
0,"tran hoang minh
",16,0.0,0,1,2
0,"nguyen thien
",13,0.0,0,1,1
0,"nguyen huu nguyen
",18,0.0,0,1,2
0,"le van khoa
",12,0.0,0,1,2
0,"joe hoang
",10,0.0,0,1,1
0,"pham ngoc dang
",15,0.0,0,1,2
0,"nguyen van dang son
",20,0.0,0,1,3
0,"tran duc hiep
",14,0.0,0,1,2
0,"nguyen minh thien hoang
",24,0.0,0,1,3
0,"ngo van thao
",13,0.0,0,1,2
0,"diane doan
",11,0.0,0,1,1
0,"hoang nhat chinh
",17,0.0,0,1,2
0,"tran quoc tinh
",15,0.0,0,1,2
0,"dinh ngoc anh
",14,0.0,0,1,2
0,"nguyen manh luan
",17,0.0,0,1,2
0,"ho thi thu
",11,0.0,0,1,2
0,"tran quang
",11,0.0,0,1,1
0,"phung thi tam
",14,0.0,0,1,2
0,"dinh duc hoang an
",18,0.0,0,1,3
